HJD_UTC	rel_flux_T1
2460634.648530	0.069839
2460634.649953	0.075013
2460634.651495	0.074819
2460634.652917	0.078772
2460634.654340	0.073538
2460634.655762	0.070953
2460634.657185	0.071088
2460634.658608	0.064879
2460634.660030	0.063447
2460634.661453	0.070127
2460634.662876	0.064842
2460634.664298	0.067131
2460634.665721	0.066500
2460634.667143	0.061715
2460634.668566	0.056378
2460634.669988	0.065073
2460634.671411	0.061122
2460634.672834	0.060423
2460634.674256	0.065384
2460634.675679	0.058806
2460634.677102	0.065579
2460634.678524	0.058813
2460634.679947	0.065826
2460634.681369	0.062829
2460634.682792	0.068848
2460634.684215	0.067667
2460634.685638	0.063367
2460634.687060	0.066952
2460634.688483	0.067607
2460634.689905	0.069273
2460634.691328	0.073731
2460634.692750	0.071903
2460634.694173	0.073418
2460634.695595	0.076564
2460634.697018	0.076124
2460634.698440	0.074363
2460634.699863	0.075823
2460634.701286	0.079475
2460634.702708	0.081504
2460634.704131	0.081642
2460634.705553	0.080278
2460634.706976	0.084586
2460634.708399	0.085165
2460634.709821	0.085203
2460634.711244	0.084677
2460634.712666	0.082106
2460634.714089	0.082480
2460634.715511	0.086192
2460634.716934	0.084472
2460634.718357	0.088199
2460634.719779	0.084894
2460634.721202	0.087422
2460634.722625	0.087161
2460634.724047	0.083452
2460634.725470	0.089785
2460634.726893	0.087301
2460634.728315	0.088795
2460634.729737	0.085905
2460634.731160	0.083183
2460634.732583	0.087367
2460634.734202	0.088137
2460634.735625	0.086686
2460634.737047	0.088644
2460634.738470	0.087597
2460634.739892	0.083185
2460634.741315	0.085351
2460634.742737	0.088048
2460634.744160	0.084935
2460634.745583	0.084771
2460634.747005	0.084541
2460634.748428	0.089746
2460634.749850	0.087406
2460634.751273	0.084956
2460634.752695	0.086363
2460634.754118	0.087421
